OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
ciscoGatewayServer,1.3.6.1.4.1.9.1.1,,,objectidentity,,""
ciscoTerminalServer,1.3.6.1.4.1.9.1.2,,,objectidentity,,""
ciscoTrouter,1.3.6.1.4.1.9.1.3,,,objectidentity,,""
ciscoProtocolTranslator,1.3.6.1.4.1.9.1.4,,,objectidentity,,""
ciscoIGS,1.3.6.1.4.1.9.1.5,,,objectidentity,,""
cisco3000,1.3.6.1.4.1.9.1.6,,,objectidentity,,""
cisco4000,1.3.6.1.4.1.9.1.7,,,objectidentity,,""
cisco7000,1.3.6.1.4.1.9.1.8,,,objectidentity,,""
ciscoCS500,1.3.6.1.4.1.9.1.9,,,objectidentity,,""
cisco2000,1.3.6.1.4.1.9.1.10,,,objectidentity,,""
ciscoAGSplus,1.3.6.1.4.1.9.1.11,,,objectidentity,,""
cisco7010,1.3.6.1.4.1.9.1.12,,,objectidentity,,""
cisco2500,1.3.6.1.4.1.9.1.13,,,objectidentity,,""
cisco4500,1.3.6.1.4.1.9.1.14,,,objectidentity,,""
cisco2102,1.3.6.1.4.1.9.1.15,,,objectidentity,,""
cisco2202,1.3.6.1.4.1.9.1.16,,,objectidentity,,""
cisco2501,1.3.6.1.4.1.9.1.17,,,objectidentity,,""
cisco2502,1.3.6.1.4.1.9.1.18,,,objectidentity,,""
cisco2503,1.3.6.1.4.1.9.1.19,,,objectidentity,,""
cisco2504,1.3.6.1.4.1.9.1.20,,,objectidentity,,""
cisco2505,1.3.6.1.4.1.9.1.21,,,objectidentity,,""
cisco2506,1.3.6.1.4.1.9.1.22,,,objectidentity,,""
cisco2507,1.3.6.1.4.1.9.1.23,,,objectidentity,,""
cisco2508,1.3.6.1.4.1.9.1.24,,,objectidentity,,""
cisco2509,1.3.6.1.4.1.9.1.25,,,objectidentity,,""
cisco2510,1.3.6.1.4.1.9.1.26,,,objectidentity,,""
cisco2511,1.3.6.1.4.1.9.1.27,,,objectidentity,,""
cisco2512,1.3.6.1.4.1.9.1.28,,,objectidentity,,""
cisco2513,1.3.6.1.4.1.9.1.29,,,objectidentity,,""
cisco2514,1.3.6.1.4.1.9.1.30,,,objectidentity,,""
cisco2515,1.3.6.1.4.1.9.1.31,,,objectidentity,,""
cisco3101,1.3.6.1.4.1.9.1.32,,,objectidentity,,""
cisco3102,1.3.6.1.4.1.9.1.33,,,objectidentity,,""
cisco3103,1.3.6.1.4.1.9.1.34,,,objectidentity,,""
cisco3104,1.3.6.1.4.1.9.1.35,,,objectidentity,,""
cisco3202,1.3.6.1.4.1.9.1.36,,,objectidentity,,""
cisco3204,1.3.6.1.4.1.9.1.37,,,objectidentity,,""
ciscoAccessProRC,1.3.6.1.4.1.9.1.38,,,objectidentity,,""
ciscoAccessProEC,1.3.6.1.4.1.9.1.39,,,objectidentity,,""
cisco1000,1.3.6.1.4.1.9.1.40,,,objectidentity,,""
cisco1003,1.3.6.1.4.1.9.1.41,,,objectidentity,,""
cisco2516,1.3.6.1.4.1.9.1.42,,,objectidentity,,""
cisco1020,1.3.6.1.4.1.9.1.43,,,objectidentity,,""
cisco1004,1.3.6.1.4.1.9.1.44,,,objectidentity,,""
cisco7507,1.3.6.1.4.1.9.1.45,,,objectidentity,,""
cisco7513,1.3.6.1.4.1.9.1.46,,,objectidentity,,""
cisco7506,1.3.6.1.4.1.9.1.47,,,objectidentity,,""
cisco7505,1.3.6.1.4.1.9.1.48,,,objectidentity,,""
cisco1005,1.3.6.1.4.1.9.1.49,,,objectidentity,,""
cisco4700,1.3.6.1.4.1.9.1.50,,,objectidentity,,""
ciscoPro1003,1.3.6.1.4.1.9.1.51,,,objectidentity,,""
ciscoPro1004,1.3.6.1.4.1.9.1.52,,,objectidentity,,""
ciscoPro1005,1.3.6.1.4.1.9.1.53,,,objectidentity,,""
ciscoPro1020,1.3.6.1.4.1.9.1.54,,,objectidentity,,""
ciscoPro2500PCE,1.3.6.1.4.1.9.1.55,,,objectidentity,,""
